,구별,구면적,공원명,공원면적,공원주소,위도,경도,인구수
84,성북구,24570000.0,청량공원,762642.0,서울특별시 성북구 화랑로18가길 50,37.6020055,127.0511145,449871
85,성북구,24570000.0,성북근린공원,137759.0,서울특별시 성북구 성북동 168-294 성북근린공원,37.5957262,127.007077,449871
86,구로구,20120000.0,개웅산근린공원,411972.0,서울특별시 구로구 오류동 개웅산공원,37.4884309,126.8463457,435751
87,구로구,20120000.0,고척근린공원,108120.0,서울특별시 구로구 고척동 9-14 고척근린공원,37.5027659,126.8531646,435751
88,구로구,20120000.0,온수도시자연공원,1097565.0,서울특별시 구로구 개봉동 산2-60,37.5002598,126.83695,435751
89,구로구,20120000.0,푸른수목원,103354.0,서울특별시 구로구 항동 96-4 푸른수목원,37.48398359999999,126.8255942,435751
90,양천구,17410000.0,계남근린공원,603715.2,서울특별시 양천구 신정동 계남근린공원,37.5102339,126.8554831,460048
91,양천구,17410000.0,파리근린공원,29619.3,서울특별시 양천구 목5동 906 파리공원,37.5345925,126.8771469,460048
92,양천구,17410000.0,갈산근린공원,138596.0,서울특별시 양천구 신정동 162-56,37.5082119,126.8689146,460048
93,양천구,17410000.0,용왕산근린공원,213552.0,서울특별시 목2동 용왕산,37.542222,126.8775,460048
94,양천구,17410000.0,서서울호수공원,217946.0,서울특별시 양천구 신월동 남부순환로64길 20 서서울호수공원,37.527672,126.829852,460048
95,강남구,39500000.0,대모산도시자연공원,2277252.0,서울특별시 강남구 일원동 435 대모산도시자연공원,37.4801176,127.0753916,544085
96,강남구,39500000.0,도곡근린공원,254648.0,서울특별시 강남구 도곡동 도곡근린공원,37.4850738,127.0470484,544085
97,강남구,39500000.0,도산근린공원,29816.5,서울특별시 금천구 독산동 1086 독산근린공원,37.463629,126.8842038,544085
98,강남구,39500000.0,봉은공원,328018.0,서울특별시 강남구 삼성동 봉은공원,37.513742,127.0554639,544085
99,강남구,39500000.0,광평근린공원,519782.0,서울특별시 강남구 수서동 산10-1,37.4880445,127.092184,544085
100,강남구,39500000.0,청담근린공원,59347.0,서울특별시 강남구 청담동 66 청담공원,37.5212917,127.0526024,544085
101,강남구,39500000.0,율현공원,157535.0,서울특별시 강남구 율현동 77-9 율현공원,37.4723787,127.1156833,544085
102,송파구,33870000.0,천마근린공원,185295.0,서울특별시 송파구 마천동 천마공원,37.5003517,127.1568151,676673
103,송파구,33870000.0,장지근린공원,585652.0,서울특별시 송파구 장지동 851 장지근린공원,37.4773867,127.1285282,676673
104,송파구,33870000.0,아시아근린공원,66027.8,서울특별시 송파구 잠실동 84 아시아근린공원관리사무소,37.5105156,127.0764337,676673
105,송파구,33870000.0,올림픽공원,1447122.0,서울특별시 송파구 방이동 올림픽로 424 올림픽공원,37.5206868,127.1214941,676673
106,송파구,33870000.0,송파나루근린공원(석촌호수),285757.0,서울특별시 송파구 잠실동 47 송파나루 공원,37.5097431,127.1030184,676673
107,송파구,33870000.0,문정근린공원,49972.0,서울특별시 송파구 문정1동 50-1 문정근린공원,37.4861718,127.1279023,676673
108,도봉구,20660000.0,초안산근린공원,664905.0,서울특별시 도봉구 창1동 산154-2 초안산근린공원,37.6460377,127.045659,329300
109,도봉구,20660000.0,쌍문근린공원,328018.0,서울특별시 도봉구 쌍문동 쌍문근린공원,37.6533029,127.028851,329300
110,도봉구,20660000.0,서울창포원,51470.0,서울특별시 도봉구 도봉동 4 서울창포원,37.6893333,127.0481194,329300
111,도봉구,20660000.0,발바닥공원,7000.0,서울특별시 도봉구 방학동 시루봉로6길 33 발바닥 생태공원,37.6596508,127.0296291,329300
112,도봉구,20660000.0,월천근린공원,10712.0,서울특별시 도봉구 창동 월천근린공원,37.6475262,127.0508768,329300
113,도봉구,20660000.0,초안산생태공원,22113.0,서울특별시 도봉구 창1동 산157 초안산생태공원,37.6481864,127.0455709,329300
114,강북구,23600000.0,오동근린공원,1349556.4,서울특별시 강북구 번2동 오동공원,37.6307004,127.0323033,313550
115,강북구,23600000.0,북한산국립공원,1667848.0,서울특별시 우이동 북한산,37.660833,126.993333,313550
116,강북구,23600000.0,북서울꿈의숲,662543.0,서울특별시 강북구 번3동 월계로 173 북서울 꿈의숲,37.6214313,127.0406246,313550
117,강북구,23600000.0,솔밭근린공원,34955.0,서울특별시 강북구 우이동 솔밭근린공원,37.6529507,127.0118084,313550
118,중랑구,18500000.0,봉화산근린공원,1018689.0,서울특별시 중랑구 신내동 123 봉화산근린공원,37.60747629999999,127.0918739,400989
119,중랑구,18500000.0,용마폭포공원,5107964.0,서울특별시 중랑구 면목4동 용마산로 250-12 용마폭포공원,37.5728192,127.0911912,400989
120,중랑구,18500000.0,중랑캠핑숲,179666.0,"서울특별시 중랑구 망우동 망우로87길 110 중랑캠핑숲, 중랑가족캠핑장",37.6044856,127.1096119,400989
121,중랑구,18500000.0,나들이근린공원,32000.0,서울특별시 중구 망우동 산 30-7 일대,37.6054218,127.11326100000001,400989
122,중랑구,18500000.0,서일대뒷산공원,631021.0,서울특별시 중랑구 면목3.8동 용마산로90길 28,37.5866169,127.0977437,400989
123,중랑구,18500000.0,용마도시자연공원(사가정공원),109635.0,서울특별시 광진구 중곡동 143-146 용마도시자연공원,37.5623708,127.0962081,400989
124,노원구,35440000.0,불암산도시자연공원,5332422.0,서울특별시 노원구 상계동 불암산도시자연공원,37.6644969,127.0824288,529532
125,노원구,35440000.0,수락산도시자연공원,6691885.3,서울특별시 노원구 상계동 수락산자연공원,37.6758011,127.0809008,529532
126,노원구,35440000.0,경춘선숲길,211392.0,서울특별시 노원구 월계2동 276-40 경춘선숲길,37.6305497,127.0630492,529532
