종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
045390,대아티아이,"5,820","-110","1.85","5,830","5,820","931,298","5,441,494,850","5,880","5,900","5,810","100",원(KRW),"71,151,522","414,101,858,040",
108380,대양전기공업,"15,200","150","1.00","15,250","15,200","64,433","979,098,150","15,200","15,400","14,800","500",원(KRW),"9,567,333","145,423,461,600",
006580,대양제지,"3,105","25","0.81","3,110","3,105","684,583","2,175,795,605","3,110","3,255","3,095","500",원(KRW),"26,850,000","83,369,250,000",
007680,대원,"9,800","50","0.51","9,830","9,800","49,805","482,989,770","9,740","9,850","9,580","500",원(KRW),"11,730,500","114,958,900,000",
048910,대원미디어,"7,850","-230","2.85","7,850","7,840","225,339","1,783,240,110","8,080","8,140","7,830","500",원(KRW),"12,578,946","98,744,726,100",
005710,대원산업,"5,520","0","0.00","5,520","5,510","10,008","54,822,610","5,500","5,530","5,440","500",원(KRW),"20,037,600","110,607,552,000",
290380,대유,"13,000","-500","3.70","13,100","13,000","108,825","1,427,077,500","13,400","13,500","13,000","500",원(KRW),"9,052,400","117,681,200,000",
290120,대유에이피,"7,450","-50","0.67","7,450","7,430","29,599","220,060,590","7,500","7,530","7,410","500",원(KRW),"10,884,299","81,088,027,550",
120240,대정화금,"38,300","-200","0.52","38,300","38,200","147,860","5,705,611,700","39,300","39,300","38,100","500",원(KRW),"7,135,391","273,285,475,300",
003310,대주산업,"2,275","-85","3.60","2,280","2,275","859,393","1,991,274,465","2,360","2,370","2,275","500",원(KRW),"35,392,350","80,517,596,250",
078600,대주전자재료,"45,900","-800","1.71","45,900","45,850","132,169","6,067,384,650","46,150","46,400","45,550","500",원(KRW),"15,201,745","697,760,095,500",
096350,대창솔루션,"547","6","1.11","547","546","5,949,467","3,262,433,981","545","557","532","100",원(KRW),"163,761,009","89,577,271,923",
140520,대창스틸,"2,410","-20","0.82","2,410","2,405","222,821","542,699,350","2,430","2,490","2,380","500",원(KRW),"20,000,000","48,200,000,000",
131220,대한과학,"25,200","-1,050","4.00","25,250","25,200","3,030,932","79,315,219,950","26,000","27,500","24,450","500",원(KRW),"7,454,490","187,853,148,000",
010170,대한광통신,"3,915","-75","1.88","3,915","3,910","863,839","3,389,086,055","3,990","3,990","3,895","500",원(KRW),"73,741,625","288,698,461,875",
060900,대한그린파워,"1,175","0","0.00","1,175","1,165","1,428,369","1,673,947,785","1,155","1,195","1,155","100",원(KRW),"153,287,035","180,112,266,125",
054670,대한뉴팜,"13,000","-150","1.14","13,050","13,000","105,777","1,388,165,800","13,200","13,250","13,000","500",원(KRW),"14,354,920","186,613,960,000",
023910,대한약품,"32,350","300","0.94","32,350","32,300","68,498","2,219,212,550","32,450","32,700","32,150","500",원(KRW),"6,000,000","194,100,000,000",
021040,대호피앤씨,"887","-5","0.56","887","881","452,143","400,539,849","883","894","879","500",원(KRW),"73,112,826","64,851,076,662",
021045,대호피앤씨우,"1,470","-30","2.00","1,480","1,475","40,505","59,880,235","1,490","1,490","1,470","500",원(KRW),"4,242,466","6,236,425,020",
067080,대화제약,"14,650","100","0.69","14,700","14,650","130,628","1,924,539,000","14,600","14,950","14,550","500",원(KRW),"18,569,379","272,041,402,350",
298540,더네이쳐홀딩스,"39,850","-1,650","3.98","39,900","39,850","91,492","3,675,831,550","40,850","41,100","39,750","500",원(KRW),"7,272,328","289,802,270,800",
