,광역시도,시군구,20~39세계,20~39세여자,65세이상계,인구수 계,인구수남자,인구수여자,소멸비율,소멸위기지역,ID,y,x,여성비율,2030 여성비율,고령자 비율
95,경북,영덕군,4489,2086,12502,33715,15906,17809,0.3337066069428891,1,영덕,7,11,52.82218597063621,46.469146803296944,37.08141776657274
96,경북,영양군,1865,879,5674,15272,7531,7741,0.3098343320408883,1,영양,9,11,50.68753273965427,47.1313672922252,37.152959664745936
97,경북,영주시,17125,7880,25317,97309,47843,49466,0.6225066161077537,1,영주,10,9,50.83394136205284,46.01459854014598,26.017120718535796
98,경북,영천시,17393,7971,25552,92731,46027,46704,0.6239041953663118,1,영천,12,10,50.36503434665861,45.828781693784855,27.55497082960391
99,경북,예천군,8502,4179,15336,50742,24733,26009,0.5449921752738655,1,예천,10,8,51.25734105868906,49.15314043754411,30.223483504788934
100,경북,울릉군,1506,632,1972,8200,4436,3764,0.640973630831643,1,울릉,8,13,45.90243902439025,41.96547144754316,24.048780487804876
101,경북,울진군,7500,3309,12405,44272,22032,22240,0.5334945586457074,1,울진,6,11,50.23491145645102,44.12,28.019967473798335
102,경북,의성군,5802,2597,19316,47133,22823,24310,0.26889625181196936,1,의성,11,11,51.5774510427938,44.760427438814204,40.98190227653661
103,경북,청도군,5033,2271,14261,38218,18446,19772,0.3184909894116822,1,청도,13,10,51.73478465644461,45.122193522749846,37.314877806269294
104,경북,청송군,3120,1324,8408,23031,11451,11580,0.3149381541389153,1,청송,10,11,50.28005731405497,42.43589743589744,36.50731622595632
105,경북,칠곡군,26524,12373,15881,108254,55417,52837,1.558214218248221,0,칠곡,12,9,48.80835812071609,46.648318503996386,14.67012766271916
106,광주,광산구,108402,54745,33965,392634,195701,196933,3.2236125423229796,0,광주 광산,21,2,50.15688911301619,50.50183575948783,8.650549875965913
107,광주,남구,52095,26643,34372,209133,100399,108734,1.5502734784126615,0,광주 남구,23,2,51.99275102446769,51.14310394471639,16.43547407630551
108,광주,동구,26870,13001,19994,95738,47381,48357,1.3004901470441133,0,광주 동구,23,3,50.50972445632873,48.38481577967994,20.884079466878354
109,광주,북구,115023,56938,58933,422264,208100,214164,1.9322959971493052,0,광주 북구,22,3,50.71803421556182,49.501404067012686,13.956434836974028
110,광주,서구,77733,39602,38366,289981,141373,148608,2.064432049210238,0,광주 서구,22,2,51.24749552556892,50.94618759085587,13.230521999717224
111,대구,남구,36403,18059,31219,141016,67453,73563,1.1569236682789328,0,대구 남구,15,9,52.16642083167867,49.608548745982475,22.138622567651897
112,대구,달서구,142081,69705,72740,549980,269246,280734,1.9165521033819082,0,대구 달서,16,8,51.04440161460416,49.06004321478593,13.22593548856322
113,대구,달성군,68262,33012,27906,243000,122037,120963,2.36594280799828,0,대구 달성,16,9,49.779012345679014,48.36072778412587,11.48395061728395
114,대구,동구,82204,39988,60517,328007,160082,167925,1.3215460118644349,0,대구 동구,15,10,51.19555375342599,48.64483480122622,18.4499111299454
115,대구,북구,113047,54402,56992,425333,210525,214808,1.9091100505334082,0,대구 북구,14,8,50.50348785539801,48.1233469264996,13.399383541836633
116,대구,서구,39397,18019,34817,167446,83008,84438,1.0350690754516472,0,대구 서구,15,8,50.42700333241762,45.73698504962307,20.79297206263512
117,대구,수성구,88787,44780,60804,405234,195256,209978,1.4729294125386487,0,대구 수성,14,10,51.81648134164458,50.43531147577911,15.004663971927332
118,대구,중구,21428,10915,14236,72483,34690,37793,1.5334363585276762,0,대구 중구,14,9,52.14050191079288,50.938025014000374,19.64046741994675
119,대전,대덕구,43677,20568,24547,170822,85844,84978,1.6758055974253472,0,대전 대덕,13,5,49.74651976911639,47.09114636994299,14.369928931870602
120,대전,동구,59947,28471,37784,221955,111143,110812,1.5070400169383866,0,대전 동구,14,5,49.92543533599153,47.49361936377133,17.023270482755514
121,대전,서구,134767,67755,54211,463747,226805,236942,2.499677187286713,0,대전 서구,16,4,51.09294507565547,50.27566095557518,11.689779125255797
122,대전,유성구,103746,49545,29084,336354,170005,166349,3.4070279191307935,0,대전 유성,15,4,49.45652497071538,47.75605806488925,8.646842314941996
123,대전,중구,54807,27469,41168,227181,110975,116206,1.3344830936649825,0,대전 중구,15,5,51.15128465848816,50.11951028153339,18.1212337299334
124,부산,강서구,35490,17626,13407,120451,61117,59334,2.629372715745506,0,부산 강서,18,8,49.259865007347386,49.6646942800789,11.130667242281094
125,부산,금정구,59601,28544,43238,228110,111149,116961,1.3203200888107682,0,부산 금정,16,10,51.27394678006225,47.89181389574001,18.95489018456008
126,부산,기장군,37473,18881,22967,154532,75833,78699,1.644185135193974,0,부산 기장,16,12,50.92731602515984,50.385610973234066,14.862293893821343
127,부산,남구,65648,32292,48766,262984,127898,135086,1.324365336504942,0,부산 남구,19,11,51.366623064521036,49.18961735315623,18.543333434733672
128,부산,동구,18886,9163,20349,81089,39342,41747,0.9005847953216374,1,부산 동구,18,10,51.4829384996732,48.51742031134174,25.09464908927228
129,부산,동래구,61364,30706,43883,254552,123015,131537,1.399448533600711,0,부산 동래,16,11,51.6739212420252,50.03911087934294,17.23930670354191
130,부산,부산진구,93807,47780,62545,339223,162539,176684,1.5278599408425932,0,부산 부산진,17,10,52.08491169525651,50.934365239267855,18.437723857167704
131,부산,북구,69489,33946,42923,276503,135427,141076,1.5817160962654055,0,부산 북구,17,9,51.021507904073374,48.850897264315215,15.5235205404643
132,부산,사상구,54928,26362,33971,209051,104170,104881,1.5520296723676077,0,부산 사상,18,9,50.17005419730114,47.99373725604428,16.250101649836644
133,부산,사하구,77401,37266,51920,304746,150249,154497,1.4355161787365178,0,부산 사하,19,10,50.69697387332401,48.146664771772976,17.037139125698122
